,kor,eng,rgb
0,__, maroon,"128,0,0"
1,____, darkred,"139,0,0"
2,___, brown,"165,42,42"
3,_____, firebrick,"178,34,34"
4,___, crimson,"220,20,60"
5,__, red,"255,0,0"
6,_____, orangered,"255,69,0"
7,___, tomato,"255,99,71"
8,__, coral,"255,127,80"
9,_____, sandybrown,"244,164,96"
10,____, burlywood,"222,184,135"
11,_, tan,"210,180,140"
12,_____, lightsalmon,"255,160,122"
13,____, darksalmon,"233,150,122"
14,_____, lightcoral,"240,128,128"
15,__, salmon,"250,128,114"
16,_____, indianred,"205,92,92"
17,_____, rosybrown,"188,143,143"
18,_____, saddlebrown,"139,69,19"
19,___, sienna,"160,82,45"
20,___, chocolate,"210,105,30"
21,_____, darkorange,"255,140,0"
22,___, orange,"255,165,0"
23,__, peru,"205,133,63"
24,______, darkgoldenrod,"184,134,11"
25,____, goldenrod,"218,165,32"
26,__, gold,"255,215,0"
27,___, yellow,"255,255,0"
28,__________, lightgoldenrodyellow,"250,250,210"
29,___, bisque,"255,228,196"
30,______, navajowhite,"255,222,173"
31,___, moccasin,"255,228,181"
32,____, peachpuff,"255,218,185"
33,__, wheat,"245,222,179"
34,______, palegoldenrod,"238,232,170"
35,__, khaki,"240,230,140"
36,____, darkkhaki,"189,183,107"
37,_____, yellowgreen,"154,205,50"
38,_____, greenyellow,"173,255,47"
39,_____, chartreuse,"127,255,0"
40,____, lawngreen,"124,252,0"
41,__, lime,"0,255,0"
42,____, limegreen,"50,205,50"
43,___, olive,"128,128,0"
44,______, olivedrab,"107,142,35"
45,_______, darkolivegreen,"85,107,47"
46,______, forestgreen,"34,139,34"
47,__, green,"0,128,0"
48,____, darkgreen,"0,100,0"
49,___, seagreen,"46,139,87"
50,______, mediumseagreen,"60,179,113"
51,________, mediumspringgreen,"0,250,154"
52,_____, springgreen,"0,255,127"
53,____, palegreen,"152,251,152"
54,_____, lightgreen,"144,238,144"
55,_____, darkseagreen,"143,188,143"
56,____, cadetblue,"95,158,160"
57,_, teal,"0,128,128"
58,____, darkcyan,"0,139,139"
59,______, lightseagreen,"32,178,170"
60,___, aqua,"0,255,255"
61,__, cyan,"0,255,255"
62,____, turquoise,"64,224,208"
63,______, darkturquoise,"0,206,209"
64,_______, mediumturquoise,"72,209,204"
65,________, mediumaquamarine,"102,205,170"
66,_____, aquamarine,"127,255,212"
67,______, paleturquoise,"175,238,238"
68,_____, powderblue,"176,224,230"
69,_____, lightblue,"173,216,230"
70,_______, lightsteelblue,"176,196,222"
71,________, lightskyblue,"135,206,250"
72,_____, skyblue,"135,206,235"
73,______, deepskyblue,"0,191,255"
74,____, dodgerblue,"30,144,255"
75,____, steelblue,"70,130,180"
76,______, cornflowerblue,"100,149,237"
77,____, royalblue,"65,105,225"
78,__, blue,"0,0,255"
79,_____, mediumblue,"0,0,205"
80,_______, midnightblue,"25,25,112"
81,____, darkblue,"0,0,139"
82,___, navy,"0,0,128"
83,___, indigo,"75,0,130"
84,________, darkslateblue,"72,61,139"
85,______, slateblue,"106,90,205"
86,_________, mediumslateblue,"123,104,238"
87,_____, mediumpurple,"147,112,219"
88,__, purple,"128,0,128"
89,______, darkmagenta,"139,0,139"
90,______, darkviolet,"148,0,211"
91,______, blueviolet,"138,43,226"
92,_____, darkorchid,"153,50,204"
93,______, mediumorchid,"186,85,211"
94,___, orchid,"218,112,214"
95,____, violet,"238,130,238"
96,__, plum,"221,160,221"
97,__, thistle,"216,191,216"
98,_________, mediumvioletred,"199,21,133"
99,___, deeppink,"255,20,147"
100,___, magenta,"255,0,255"
101,___, fuchsia,"255,0,255"
102,________, palevioletred,"219,112,147"
103,___, hotpink,"255,105,180"
104,_____, lightpink,"255,182,193"
105,__, pink,"255,192,203"
106,_____, mistyrose,"255,228,225"
107,______, blanchedalmond,"255,235,205"
108,______, antiquewhite,"250,235,215"
109,____, papayawhip,"255,239,213"
110,__, linen,"250,240,230"
111,___, beige,"245,245,220"
112,_____, oldlace,"253,245,230"
113,__, seashell,"255,245,238"
114,___, cornsilk,"255,248,220"
115,____, lemonchiffon,"255,250,205"
116,______, floralwhite,"255,250,240"
117,______, lightyellow,"255,255,224"
118,____, ivory,"255,255,240"
119,___, white,"255,255,255"
120,____, mintcream,"245,255,250"
121,___, honeydew,"240,255,240"
122,___, azure,"240,255,255"
123,___, snow,"255,250,250"
124,______, ghostwhite,"248,248,255"
125,_____, lightcyan,"224,255,255"
126,_____, aliceblue,"240,248,255"
127,______, whitesmoke,"245,245,245"
128,______, lavenderblush,"255,240,245"
129,___, lavender,"230,230,250"
130,_____, gainsboro,"220,220,220"
131,______, lightgrey,"211,211,211"
132,__, silver,"192,192,192"
133,_____, darkgray,"169,169,169"
134,__________, lightslategray,"119,136,153"
135,___, gray,"128,128,128"
136,_______, slategray,"112,128,144"
137,____, dimgray,"105,105,105"
138,_________, darkslategray,"47,79,79"
139,__, black,"0,0,0"
